,date,keyword,repeat,type,rank,ASIN,Name
12,20210628_1110_Mon,シャンプー,try_1,Organic,13,B07CJ5QM8B,【大容量】h&s for men シャンプー ボリュームアップ 詰め替え 超特大 900mL
13,20210628_1110_Mon,シャンプー,try_1,Organic,14,B08WMCZ1TJ,[Amazon限定ブランド] シャンプー パーフェクトウォッシュ 濃密泡 [ジェントルミントの香り] MARO17 マーロ17 DX(デラックス) 詰替え 2倍サイズ 600ml メンズ
14,20210628_1110_Mon,シャンプー,try_1,Organic,15,B07Q9THMCJ,【大容量】 メリット シャンプー つめかえ用 2000ml [医薬部外品] ナチュラルフローラルのやさしい香り
15,20210628_1110_Mon,シャンプー,try_1,Organic,16,B07XB52FD7,LUX(ラックス) ラックスルミニーク ボタニカルピュア シャンプー つめかえ用 1kg ホワイト
16,20210628_1110_Mon,シャンプー,try_1,Organic,17,B08TXCC9BX,BOTANIST(ボタニスト) ボタニカルシャンプー 【スカルプクレンズ】 490mL リニューアル 植物由来 ヘアケア ノンシリコン 地肌ケア 頭皮ケア 指通り
17,20210628_1110_Mon,シャンプー,try_1,Organic,18,B087Z8M9BC,[Amazon限定ブランド]【医薬部外品】デオスカルプ 薬用 シャンプー [ グリーンミントの香り ] MARO マーロ DX 詰替え用 800ml メンズ
18,20210628_1110_Mon,シャンプー,try_1,Organic,19,B07GRPJ471,シャンプー&トリートメント [ツヤ髪] フローラル&ベリーの香り ダイアン パーフェクトビューティ エクストラシャイン 450ml×2
19,20210628_1110_Mon,シャンプー,try_1,Organic,20,B08881D962,MISTON 炭酸シャンプー クリアプレシャス スカルプフォーム メンズ 大容量モデル 320g
20,20210628_1110_Mon,シャンプー,try_1,Organic,21,B07DR8XNKF,アンファー (ANGFA) スカルプDボーテ ナチュラスターシャンプー ・トリートメトパック 350ml 女性用 オーガニック シャンプー コンディショナー [ノンシリコン] [サルフェートフリー] ペア・リリーの香り
21,20210628_1110_Mon,シャンプー,try_1,Organic,22,B0922KMC9T,2021年新商品【クール】3D ボリュームアップ シャンプー [クールシトラスの香り] トリートメント不要 MARO マーロ 440ml メンズ
22,20210628_1110_Mon,シャンプー,try_1,Organic,23,B084KMWCQJ,レベナオーガニック シャンプー＆トリートメントセット アミノ酸 オーガニック ノンシリコン ボタニカル スカルプ 無添加 しっとり高保湿 セラミド 植物幹細胞 配合 500ml＆500g
23,20210628_1110_Mon,シャンプー,try_1,Organic,24,B07XC4YDHL,LUX(ラックス) ラックスルミニーク ダメージリペア シャンプー つめかえ用 1kg レッド
24,20210628_1110_Mon,シャンプー,try_1,Organic,25,B00DE9Y0Q4,&GINO 頭皮ケアシャンプー プレミアムブラックシャンプー 400ml【 頭皮ケア スカルプ シャンプー 男性用 メンズ 】
25,20210628_1110_Mon,シャンプー,try_1,Organic,26,B08HHJZSYF,Nile 超濃密泡シャンプー メンズ レディース 濃厚ジェル アミノ酸 スカルプケア (250ｍⅬ)
26,20210628_1110_Mon,シャンプー,try_1,Organic,27,B07Q2G3SJZ,スカルプD シャンプー メンズ オイリー 脂性肌用 医薬部外品 アンファー (ANGFA) 薬用シャンプー スカルプシャンプー ノンシリコン 男性用 350ml
27,20210628_1110_Mon,シャンプー,try_1,Organic,28,B08H7YQR2V,ザ パブリック オーガニック シャンプー & トリートメント ベストコスメ 本体ボトル セット スーパーポジティブ 480mL + 480mL 2020年リニューアル
28,20210628_1110_Mon,シャンプー,try_1,Organic,29,B08TXCFRDP,【詰め替え】BOTANIST(ボタニスト) ボタニカルシャンプー【スムース】425mL リニューアル 植物由来 ヘアケア ノンシリコン さらさら 指通り
29,20210628_1110_Mon,シャンプー,try_1,Organic,30,B092GSM7WF,flat(フラット) エッセンシャル フラット モイスト&モイスト スヌーピー デザイン ポンプペア (シャンプー トリートメント 500ml)※限定デザイン セット 500ml+500ml
30,20210628_1110_Mon,シャンプー,try_1,Organic,31,B07ZB81Q8J,haru(ハル) kurokami スカルプ シャンプー アミノ酸 天然由来 柑橘系 400ml メッセージカード付き リンス コンディショナー不要 ノンシリコン 無添加
31,20210628_1110_Mon,シャンプー,try_1,Organic,32,B081DH5255,【ボトルセット】DROAS ドロアス シルキーシャンプー・シルキートリートメントブリージーサボンの香り (シャンプートリートメントセット) シャンプー トリートメント コンディショナー ヘアケア クレイビューティー 泥 自然の恵み ザボン
32,20210628_1110_Mon,シャンプー,try_1,Organic,33,B093ZNN9QB,[Amazon限定ブランド] Essenshil (エッセンシル) シャンプー&トリートメント セット トライアクティブ 480ml+480g ブルー フローラル
33,20210628_1110_Mon,シャンプー,try_1,Organic,34,B00574IL7I,deartech(ディアテック) カウンセリング プレシャンプー 1000ml 詰替え用
34,20210628_1110_Mon,シャンプー,try_1,Organic,35,B07SSHN417,LUCIDO(ルシード) 薬用スカルプデオシャンプー 無香料 詰替え用 大容量 760ml
35,20210628_1110_Mon,シャンプー,try_1,Organic,36,B07B53M8J9,【大容量】メリット リンスのいらないシャンプー つめかえ用 1080ml [医薬部外品]
36,20210628_1110_Mon,シャンプー,try_1,Organic,37,B07X8P5943,[Amazon限定ブランド] 3Dボリュームアップ シャンプー EX [ジェントルミントの香り] MARO マーロ DX 詰替え用 760ml メンズ
37,20210628_1110_Mon,シャンプー,try_1,Organic,38,B08CDQW1SQ,SEABREEZE(シーブリーズ) 【大容量】リンスインシャンプー つめかえ用1L×2個+おまけ(シート10枚)
38,20210628_1110_Mon,シャンプー,try_1,Organic,39,B07N7876WX,クリア モイスト スカルプシャンプーつめかえ600G
39,20210628_1110_Mon,シャンプー,try_1,Organic,40,B084H132PK,【大容量】 サクセス 薬用シャンプー つめかえ用 960ml [医薬部外品] アブラ ワックス ニオイ 一発洗浄 アクアシトラスの香り
40,20210628_1110_Mon,シャンプー,try_1,Organic,41,B08ZZ91G2P,【まとめ買い】 メリット 泡で出てくる シャンプー キッズ からまりやすい髪用 つめかえ用 240ml × 3個 240ml×3個
