20210216PM,シャンプー,try_1,SBA,1,None,
20210216PM,シャンプー,try_1,SBA,2,B07X9QGX98,
20210216PM,シャンプー,try_1,SBA,3,B07VQM6HH6,
20210216PM,シャンプー,try_1,SBA,4,B07XBQ4VTJ,
20210216PM,コンディショナー,try_1,SBA,1,None,
20210216PM,コンディショナー,try_1,SBA,2,B006YJUZH4,
20210216PM,コンディショナー,try_1,SBA,3,B08LW83L8M,
20210216PM,コンディショナー,try_1,SBA,4,B08LWCTGH4,
20210216PM,コンディショナー,try_1,SBA,5,None,
20210216PM,コンディショナー,try_1,SBA,6,None,
20210216PM,コンディショナー,try_1,SBA,7,None,
20210216PM,コンディショナー,try_1,SBA,8,None,
20210216PM,コンディショナー,try_1,SBA,9,None,
20210216PM,コンディショナー,try_1,SBA,10,None,
20210216PM,コンディショナー,try_1,SBA,11,None,
20210216PM,コンディショナー,try_1,SBA,12,None,
20210216PM,コンディショナー,try_1,SBA,13,None,
20210216PM,コンディショナー,try_1,SBA,14,None,
20210216PM,ボディソープ,try_1,SBA,1,None,
20210216PM,ボディソープ,try_1,SBA,2,B085DXTKFW,
20210216PM,ボディソープ,try_1,SBA,3,B086B5FK3G,
20210216PM,ボディソープ,try_1,SBA,4,B08LWCNZ4L,
20210216PM,ボディウォッシュ,try_1,SBA,1,None,
20210216PM,ボディウォッシュ,try_1,SBA,2,B07ZBC9Q4P,
